Experiment;Citation;Depth;Sample_date;Time_years;ambient_CO2;increased_CO2
;Marhan et al. 2010;0-10 cm;mar. 2006;4;1680;1717
;Marhan et al. 2010;0-10 cm;oct. 2006;4,5;1721;1763
;;;;;;
Jasper Ridge - sandstone;Hungate et al. 1997;0-15 cm;jan. 1992;0;2646;2646
;Hungate et al. 1997;0-15 cm;May-93;1,41;2646;2354
;Hungate et al. 1997;0-15 cm;May-94;2,41;2252;2339
;Hungate et al. 1997;0-15 cm;May-95;3,41;2315;2315
;Hungate et al. 1997;0-15 cm;May-96;4,41;2497;2486
;Hungate et al. 1997;0-15 cm;May-97;5,41;2612;2750
;;;;;;
JRGCE - Control;Hungate et al. unpublished;0-15 cm;2000;2;2384;2344
;Hungate et al. unpublished;0-15 cm;2006;8;2428;2173
;;;;;;
JRGCE - Burn;Hungate et al. unpublished;0-15 cm;2000;2;2296;2497
;Hungate et al. unpublished;0-15 cm;2006;8;2544;2269
;;;;;;
JRGCE - N;Hungate et al. unpublished;0-15 cm;2000;2;2248;2381
;Hungate et al. unpublished;0-15 cm;2006;8;2552;2329
;;;;;;
JRGCE - N x Burn;Hungate et al. unpublished;0-15 cm;2000;2;2359;2425
;Hungate et al. unpublished;0-15 cm;2006;8;2529;2226
;;;;;;
JRGCE - Water;Hungate et al. unpublished;0-15 cm;2000;2;2292;2268
;Hungate et al. unpublished;0-15 cm;2006;8;2311;2085
;;;;;;
JRGCE - Water x Burn;Hungate et al. unpublished;0-15 cm;2000;2;2394;2563
;Hungate et al. unpublished;0-15 cm;2006;8;2396;2301
;;;;;;
JRGCE - Water x N;Hungate et al. unpublished;0-15 cm;2000;2;2193;2264
;Hungate et al. unpublished;0-15 cm;2006;8;2626;2442
;;;;;;
JRGCE - Water x N x Burn;Hungate et al. unpublished;0-15 cm;2000;2;2251;2569
;Hungate et al. unpublished;0-15 cm;2006;8;2232;2385
;;;;;;
JRGCE - Heat;Hungate et al. unpublished;0-15 cm;2000;2;2298;2295
;Hungate et al. unpublished;0-15 cm;2006;8;2385;2438
;;;;;;
JRGCE - Heat x N;Hungate et al. unpublished;0-15 cm;2000;2;2288;2454
;Hungate et al. unpublished;0-15 cm;2006;8;2283;2449
;;;;;;
JRGCE - Heat x Water;Hungate et al. unpublished;0-15 cm;2000;2;2327;2310
;Hungate et al. unpublished;0-15 cm;2006;8;2074;2414
;;;;;;
JRGCE - Heat x Water x N;Hungate et al. unpublished;0-15 cm;2000;2;2393;2453
;Hungate et al. unpublished;0-15 cm;2006;8;2110;2407
;;;;;;
Merritt Island;Hungate unpublished;0-10 cm;dec. 1996;0,62;1209;1335
;Hungate unpublished;0-10 cm;jun. 1998;2,09;1131;1220
;Hungate unpublished;0-10 cm;jul. 1998;2,17;1264;1292
;Hungate unpublished;0-10 cm;aug. 1998;2,31;1356;1281
;Carney et al. 2007;0-10 cm;nov. 1998;2,55;1734;1567
;Carney et al. 2007;0-10 cm;sept. 1999;3,36;1782;1712
;Carney et al. 2007;0-10 cm;mar. 2001;4,87;2191;1941
;Carney et al. 2007;0-10 cm;May-02;6;2099;1741
;Langley et al. 2009;0-10 cm;May-02;6;1999;1628
;McKinley et al. unpublished;0-10 cm;May-07;11;1512;1411
;;;;;;
NewZealandFACE;Ross et al. 2004;0-5 cm;may/oct. 1997;0;2685;2465
;Ross et al. 2004;0-5 cm;may/oct. 1998;1;2650;2490
;Ross et al. 2004;0-5 cm;may/oct. 1999;2;2655;2525
;Ross et al. 2004;0-5 cm;may/oct. 2000;3;2675;2565
;Ross et al. 2004;0-5 cm;may/oct. 2001;4;2515;2445
;Ross et al. 2004;0-5 cm;may/oct. 2002;5;2585;2490
;Ross et al. 2013;0-5 cm;may/oct. 2003;6;2519;2510
;Ross et al. 2013;0-5 cm;may/oct. 2004;7;2599;2534
;Ross et al. 2013;0-5 cm;may/oct. 2005;8;2659;2659
;Ross et al. 2013;0-5 cm;may/oct. 2006;9;2657;2722
;Ross et al. 2013;0-5 cm;may/oct. 2007;10;2722;2822
;;;;;;
New Zealand Greenhouse;Ross et al. 1995;0-5 cm;-;0;2112,2;2122,4
;Ross et al. 1995;0-5 cm;-;0,25;2122,4;2142,9
;Ross et al. 1995;0-5 cm;-;0,5;1969,4;1979,6
;Ross et al. 1995;0-5 cm;-;0,75;1969,4;2000
;;;;;;
New Zealand OTC - P. radiata;Ross et al. 2006;0-10 cm;apr.1994;0;100;100
;Ross et al. 2006;0-10 cm;mar. 2000;6;412;530
;;;;;;
New Zealand OTC - N. fusca;Ross et al. 2006;0-10 cm;apr.1994;0;100;100
;Ross et al. 2006;0-10 cm;mar. 2000;6;2403;3402
;;;;;;
ORNL FACE;Jastrow et al. 2005;0-15 cm;oct. 1997;0;2672;2791
;Jastrow et al. 2005;0-15 cm;nov. 2000;2,42;2785;2866
;Jastrow et al. 2005;0-15 cm;oct. 2002;4,33;2730;2991
;Iversen et al. 2012;0-15 cm;Jun-09;11;3370;3850
;;;;;;
Placerville - low N;Johnson et al. 2006;0-30 cm;mar. 1991;0;8400;8000
;Johnson et al. 2006;0-30 cm;mar. 1993;1,75;7600;7600
;Johnson et al. 2006;0-30 cm;sept. 1996;5,5;7400;7600
;;;;;;
Placerville - medium N;Johnson et al. 2006;0-30 cm;mar. 1991;0;7800;7900
;Johnson et al. 2006;0-30 cm;mar. 1993;1,75;7700;7800
;Johnson et al. 2006;0-30 cm;sept. 1996;5,5;7400;8300
;;;;;;
Placerville - high N;Johnson et al. 2006;0-30 cm;mar. 1991;0;8100;7500
